event_id,category,file,variations,duration_s,loop,bus,priority,voice_limit,notes
ui.click,UI,SFX/UI/ui_click_01.wav,3,0.06,False,UI,40,6,通用按钮点击，支持轻微pitch随机。
ui.confirm,UI,SFX/UI/ui_confirm.wav,1,0.14,False,UI,45,4,确认/继续/下一关。
ui.cancel,UI,SFX/UI/ui_cancel.wav,1,0.16,False,UI,45,4,取消/返回。
ui.popup_open,UI,SFX/UI/ui_popup_open.wav,1,0.22,False,UI,45,2,弹窗打开。
ui.popup_close,UI,SFX/UI/ui_popup_close.wav,1,0.22,False,UI,45,2,弹窗关闭。
ui.denied,UI,SFX/UI/ui_denied.wav,1,0.28,False,UI,55,2,不可操作/条件不满足时。
box.select,Gameplay,SFX/Gameplay/box_select.wav,1,0.1,False,SFX,55,3,玩家点击箱体（有效选择）。
box.locked_thunk,Gameplay,SFX/Gameplay/box_locked_thunk.wav,1,0.14,False,SFX,60,2,点击锁箱或尝试对锁箱进/出货时。
run.ship_start,Gameplay,SFX/Gameplay/run_ship_start.wav,1,0.3,False,SFX,60,1,箱体开始出货 run（出货启动）。
block.eject,Gameplay,SFX/Gameplay/block_eject_01.wav,3,0.07,False,SFX,50,8,run中每个积木出货到传送带。
block.insert,Gameplay,SFX/Gameplay/block_insert_01.wav,2,0.12,False,SFX,55,6,积木成功入箱。
block.reject,Gameplay,SFX/Gameplay/block_reject_01.wav,2,0.14,False,SFX,55,4,积木尝试入箱但失败（busy/锁/满/颜色不符/规则阻止）。
block.skip_empty_box,Gameplay,SFX/Gameplay/block_skip_empty_box.wav,1,0.06,False,SFX,45,6,空箱延后规则触发：积木不进入空箱而继续前进（可选提示）。
hidden.reveal,Gameplay,SFX/Gameplay/hidden_reveal.wav,1,0.45,False,SFX,65,2,隐藏色run暴露到最外层并解除隐藏。
box.complete,Gameplay,SFX/Gameplay/box_complete.wav,1,0.9,False,SFX,80,1,箱体达成“完成箱体（满且同色）”。
box.unlock,Gameplay,SFX/Gameplay/box_unlock.wav,1,0.95,False,SFX,85,1,锁箱解锁（满足unlockColor）。
conveyor.tick,Conveyor,SFX/Conveyor/conveyor_tick_01.wav,2,0.045,False,SFX,35,2,离散tick可用；若tick过密建议用loop替代/混合。
conveyor.loop,Conveyor,SFX/Conveyor/conveyor_loop.wav,1,2.0,True,Ambience,20,1,传送带运转底噪loop（2s无缝）。
conveyor.speedup,Conveyor,SFX/Conveyor/conveyor_speedup.wav,1,0.65,False,SFX,60,1,进入5x快进（满槽或道具前置跑圈）时的过渡。
conveyor.full_warning,Conveyor,SFX/Conveyor/belt_full_warning.wav,1,0.85,False,SFX,75,1,检测到满槽并触发快进一圈前/期间的警告提示。
booster.activate,Booster,SFX/Boosters/booster_activate.wav,1,0.6,False,SFX,70,1,道具点击后触发（输入暂停）。
booster.fill_sort,Booster,SFX/Boosters/booster_fill.wav,1,0.75,False,SFX,75,1,完成颜色（Fill/Sort）执行成功。
booster.shuffle,Booster,SFX/Boosters/booster_shuffle.wav,1,0.75,False,SFX,75,1,打乱顺序（Shuffle）执行。
booster.fail,Booster,SFX/Boosters/booster_fail.wav,1,0.35,False,SFX,65,1,道具无法执行/无有效目标时（可选）。
level.start,State,SFX/States/level_start.wav,1,0.8,False,SFX,60,1,关卡开始/进入关卡。
level.win,State,SFX/States/win_jingle.wav,1,2.1,False,SFX,95,1,胜利：所有箱体满足条件且传送带为空。
level.lose,State,SFX/States/lose_jingle.wav,1,1.4,False,SFX,95,1,失败：满槽快进一圈后仍满。
