file,duration_s,peak_dbfs,rms_dbfs,centroid_hz,dominant_hz,low_ratio_<80hz
SFX/Boosters/booster_activate.wav,0.6,-0.9,-16.9,8785.7,310.0,0.0001
SFX/Boosters/booster_fail.wav,0.35,-1.2,-17.1,8883.4,462.9,0.0002
SFX/Boosters/booster_fill.wav,0.75,-0.9,-13.7,3638.1,784.0,0.0006
SFX/Boosters/booster_shuffle.wav,0.75,-0.9,-21.9,6798.9,1034.7,0.0011
SFX/Boosters/booster_ui_close.wav,0.22,-2.9,-19.8,7742.2,1531.8,0.0015
SFX/Boosters/booster_ui_open.wav,0.22,-2.9,-19.5,6629.2,909.1,0.0024
SFX/Conveyor/belt_full_fail.wav,0.55,-1.1,-17.2,4046.5,465.5,0.0046
SFX/Conveyor/belt_full_warning.wav,0.85,-0.9,-17.6,9224.8,715.3,0.0009
SFX/Conveyor/conveyor_loop.wav,2.0,-6.0,-18.3,8463.4,140.0,0.0037
SFX/Conveyor/conveyor_speeddown.wav,0.26,-0.9,-15.9,9593.2,734.6,0.0001
SFX/Conveyor/conveyor_speedup.wav,0.3,-0.9,-16.3,9830.1,430.0,0.0001
SFX/Conveyor/conveyor_tick_01.wav,0.06,-0.9,-18.7,8623.4,933.3,0.0025
SFX/Conveyor/conveyor_tick_02.wav,0.06,-0.9,-18.6,8319.2,1033.3,0.0007
SFX/Conveyor/conveyor_tick_03.wav,0.06,-0.9,-18.1,8413.8,1166.7,0.0011
SFX/Gameplay/block_eject_01.wav,0.09,-0.9,-17.3,7349.6,588.9,0.0025
SFX/Gameplay/block_eject_02.wav,0.09,-0.9,-16.9,7557.6,666.7,0.004
SFX/Gameplay/block_eject_03.wav,0.09,-0.9,-17.3,7636.1,722.2,0.0011
SFX/Gameplay/block_insert_01.wav,0.1,-0.9,-16.5,7600.5,400.0,0.0023
SFX/Gameplay/block_insert_02.wav,0.1,-0.9,-16.0,7614.6,440.0,0.003
SFX/Gameplay/block_insert_03.wav,0.1,-0.9,-15.6,7376.8,480.0,0.0016
SFX/Gameplay/block_land_01.wav,0.12,-0.9,-12.4,8359.6,200.0,0.0053
SFX/Gameplay/block_land_02.wav,0.12,-0.9,-12.3,8321.1,216.7,0.0032
SFX/Gameplay/block_reject_01.wav,0.14,-0.9,-15.7,8808.4,464.3,0.0007
SFX/Gameplay/block_reject_02.wav,0.14,-0.9,-15.5,8864.5,464.3,0.0007
SFX/Gameplay/block_reject_busy_01.wav,0.14,-1.0,-14.5,5030.9,464.3,0.0025
SFX/Gameplay/block_reject_busy_02.wav,0.14,-1.5,-14.9,4953.9,464.3,0.0025
SFX/Gameplay/block_reject_full_01.wav,0.16,-2.2,-15.3,4405.3,181.2,0.0073
SFX/Gameplay/block_reject_full_02.wav,0.16,-0.9,-15.0,4544.5,181.2,0.0073
SFX/Gameplay/block_reject_locked_01.wav,0.18,-0.9,-16.3,5538.7,177.8,0.0136
SFX/Gameplay/block_reject_locked_02.wav,0.18,-2.2,-16.2,5594.6,188.9,0.0085
SFX/Gameplay/block_reject_mismatch_01.wav,0.16,-1.5,-16.5,9040.0,812.5,0.0002
SFX/Gameplay/block_reject_mismatch_02.wav,0.16,-1.6,-16.5,9162.1,812.5,0.0001
SFX/Gameplay/block_skip_empty_box.wav,0.07,-1.1,-16.7,10237.3,1400.0,0.0
SFX/Gameplay/box_busy_denied.wav,0.14,-0.9,-15.0,5413.4,192.9,0.0116
SFX/Gameplay/box_complete.wav,0.6,-1.4,-19.7,6240.6,523.3,0.0001
SFX/Gameplay/box_locked_thunk.wav,0.18,-0.9,-15.9,5474.8,150.0,0.009
SFX/Gameplay/box_select.wav,0.11,-1.3,-17.6,6842.6,481.8,0.0014
SFX/Gameplay/box_select_02.wav,0.11,-1.3,-17.7,6754.3,545.5,0.0027
SFX/Gameplay/box_unlock.wav,0.55,-1.3,-13.2,2123.6,1318.2,0.0003
SFX/Gameplay/hidden_reveal.wav,0.22,-0.9,-12.6,4035.7,1568.2,0.0002
SFX/Gameplay/run_ship_end.wav,0.18,-0.9,-17.2,7557.3,194.4,0.0011
SFX/Gameplay/run_ship_start.wav,0.2,-0.9,-17.2,8846.7,170.0,0.0002
SFX/States/level_next.wav,0.18,-2.0,-17.1,8572.9,661.1,0.0001
SFX/States/level_retry.wav,0.12,-1.7,-19.5,10890.7,400.0,0.0005
SFX/States/level_start.wav,0.4,-1.4,-15.9,9093.0,440.0,0.0001
SFX/States/lose_jingle.wav,1.0,-0.9,-14.0,1361.2,262.0,0.0033
SFX/States/win_jingle.wav,1.1,-0.9,-14.0,2735.7,1046.4,0.0003
SFX/UI/ui_cancel.wav,0.24,-0.9,-16.8,8136.0,520.8,0.0005
SFX/UI/ui_click_01.wav,0.08,-0.9,-15.5,11220.0,2550.0,0.0003
SFX/UI/ui_click_02.wav,0.08,-1.0,-15.7,11364.3,2700.0,0.0003
SFX/UI/ui_click_03.wav,0.08,-0.9,-15.5,11385.2,2850.0,0.0003
SFX/UI/ui_confirm.wav,0.22,-1.1,-17.1,7531.9,659.1,0.0001
SFX/UI/ui_denied.wav,0.18,-1.3,-16.7,8852.9,438.9,0.0009
SFX/UI/ui_hover.wav,0.08,-5.4,-19.5,11560.3,2550.0,0.0006
SFX/UI/ui_popup_close.wav,0.22,-0.9,-18.5,7801.2,895.5,0.0008
SFX/UI/ui_popup_open.wav,0.22,-0.9,-17.0,6577.2,895.5,0.002
