event,file,variant,priority,polyphony,cooldown_ms,notes
block.eject,SFX/Gameplay/block_eject_01.wav,1,50,6,0,
block.eject,SFX/Gameplay/block_eject_02.wav,2,50,6,0,
block.eject,SFX/Gameplay/block_eject_03.wav,3,50,6,0,
block.insert,SFX/Gameplay/block_insert_01.wav,1,55,6,0,
block.insert,SFX/Gameplay/block_insert_02.wav,2,55,6,0,
block.insert,SFX/Gameplay/block_insert_03.wav,3,55,6,0,
block.land,SFX/Gameplay/block_land_01.wav,1,35,6,0,
block.land,SFX/Gameplay/block_land_02.wav,2,35,6,0,
block.reject,SFX/Gameplay/block_reject_01.wav,1,55,4,0,
block.reject,SFX/Gameplay/block_reject_02.wav,2,55,4,0,
block.reject.busy,SFX/Gameplay/block_reject_busy_01.wav,1,55,4,0,
block.reject.busy,SFX/Gameplay/block_reject_busy_02.wav,2,55,4,0,
block.reject.full,SFX/Gameplay/block_reject_full_01.wav,1,55,4,0,
block.reject.full,SFX/Gameplay/block_reject_full_02.wav,2,55,4,0,
block.reject.locked,SFX/Gameplay/block_reject_locked_01.wav,1,55,4,0,
block.reject.locked,SFX/Gameplay/block_reject_locked_02.wav,2,55,4,0,
block.reject.mismatch,SFX/Gameplay/block_reject_mismatch_01.wav,1,55,4,0,
block.reject.mismatch,SFX/Gameplay/block_reject_mismatch_02.wav,2,55,4,0,
block.skip_empty_box,SFX/Gameplay/block_skip_empty_box.wav,1,30,2,50,
booster.activate,SFX/Boosters/booster_activate.wav,1,70,1,200,
booster.fail,SFX/Boosters/booster_fail.wav,1,70,1,200,
booster.fill,SFX/Boosters/booster_fill.wav,1,70,1,200,
booster.shuffle,SFX/Boosters/booster_shuffle.wav,1,70,1,200,
booster.ui.close,SFX/Boosters/booster_ui_close.wav,1,70,1,200,
booster.ui.open,SFX/Boosters/booster_ui_open.wav,1,70,1,200,
box.busy.denied,SFX/Gameplay/box_busy_denied.wav,1,45,2,100,
box.complete,SFX/Gameplay/box_complete.wav,1,85,1,200,
box.locked.denied,SFX/Gameplay/box_locked_thunk.wav,1,45,2,100,
box.select,SFX/Gameplay/box_select.wav,1,40,2,30,
box.select,SFX/Gameplay/box_select_02.wav,2,40,2,30,
box.unlock,SFX/Gameplay/box_unlock.wav,1,85,1,200,
conveyor.full.fail,SFX/Conveyor/belt_full_fail.wav,1,90,1,500,
conveyor.full.warning,SFX/Conveyor/belt_full_warning.wav,1,80,1,500,
conveyor.loop,SFX/Conveyor/conveyor_loop.wav,1,5,1,0,
conveyor.speeddown,SFX/Conveyor/conveyor_speeddown.wav,1,45,1,200,
conveyor.speedup,SFX/Conveyor/conveyor_speedup.wav,1,45,1,200,
conveyor.tick,SFX/Conveyor/conveyor_tick_01.wav,1,10,1,80,
conveyor.tick,SFX/Conveyor/conveyor_tick_02.wav,2,10,1,80,
conveyor.tick,SFX/Conveyor/conveyor_tick_03.wav,3,10,1,80,
hidden.reveal,SFX/Gameplay/hidden_reveal.wav,1,60,2,50,
level.lose,SFX/States/lose_jingle.wav,1,100,1,0,
level.next,SFX/States/level_next.wav,1,60,1,0,
level.retry,SFX/States/level_retry.wav,1,60,1,0,
level.start,SFX/States/level_start.wav,1,70,1,0,
level.win,SFX/States/win_jingle.wav,1,100,1,0,
run.ship.end,SFX/Gameplay/run_ship_end.wav,1,50,1,0,
run.ship.start,SFX/Gameplay/run_ship_start.wav,1,50,1,0,
ui.cancel,SFX/UI/ui_cancel.wav,1,25,4,0,
ui.click,SFX/UI/ui_click_01.wav,1,25,4,0,
ui.click,SFX/UI/ui_click_02.wav,2,25,4,0,
ui.click,SFX/UI/ui_click_03.wav,3,25,4,0,
ui.confirm,SFX/UI/ui_confirm.wav,1,25,4,0,
ui.denied,SFX/UI/ui_denied.wav,1,35,2,80,
ui.hover,SFX/UI/ui_hover.wav,1,25,4,0,
ui.popup.close,SFX/UI/ui_popup_close.wav,1,25,4,0,
ui.popup.open,SFX/UI/ui_popup_open.wav,1,25,4,0,
